5,27
6,44
7,41
8,56
9,50
10,32
11,29
12,35
13,27
14,24
15,21
16,18
17,21
18,13
19,8
20,11
21,7
22,13
23,10
24,11
25,9
26,7
27,6
28,7
29,5
30,9
31,7
32,8
33,4
34,4
35,4
36,3
37,4
39,4
40,4
41,1
42,2
43,2
44,3
45,3
46,2
47,6
48,3
49,2
50,2
52,1
53,1
54,2
55,1
58,2
59,3
60,2
61,1
62,1
63,1
64,1
65,3
66,2
67,2
68,1
69,3
70,2
71,1
72,1
73,1
75,1
77,1
79,1
80,1
81,2
82,1
83,1
86,1
88,3
89,1
90,1
91,2
93,1
94,3
97,1
99,2
101,1
103,1
107,1
116,1
119,1
126,1
127,1
129,1
130,1
136,1
137,1
138,2
139,1
143,1
145,1
147,1
149,1
155,1
156,1
159,1
167,2
177,1
178,1
186,1
206,1
228,1
233,1
244,1
247,1
254,1
255,1
262,1
309,1
315,1
341,1
384,1
402,1
417,1
477,1
