3,62
4,68
5,77
6,65
7,75
8,62
9,60
10,41
11,39
12,38
13,28
14,25
15,18
16,16
17,22
18,10
19,14
20,17
21,12
22,13
23,5
24,12
25,11
26,4
27,7
28,3
29,5
30,9
31,6
32,4
33,7
34,3
35,10
36,5
37,8
38,5
39,5
40,2
41,6
42,3
43,1
44,2
47,3
48,2
49,1
50,4
51,3
52,3
53,1
54,1
56,1
57,2
58,1
59,2
60,4
61,1
62,2
64,2
66,1
67,1
69,3
71,1
72,1
74,1
75,2
77,1
78,1
79,3
80,2
81,2
82,2
83,1
85,1
86,2
89,1
91,1
92,2
95,1
98,2
102,1
104,3
105,1
108,1
109,1
110,1
111,2
113,1
115,2
116,1
117,1
118,1
119,1
122,1
124,1
125,1
128,2
135,1
136,1
139,1
140,1
141,1
142,1
146,1
147,1
148,1
153,2
157,1
165,1
173,2
177,1
184,1
186,1
206,1
209,1
219,1
246,1
250,1
252,1
288,1
378,1
380,1
449,1
